series_name,series_slug_tr,series_slug_en,series_number,product_code,category_main,category_sub,release_date,release_year,release_month_tr,figure_count,manual_rarity,computed_rarity,final_rarity,is_limited_production,is_special_production,summary_tr,summary_en,collector_comment_tr,collector_comment_en,hero_image_url,cover_image_url,is_active,is_published
LEGO® Minifigürler Serisi 11,lego-minifigurler-serisi-11,lego-minifigures-series-11,71002,71002,Koleksiyon Serileri,Klasik,2013-09-01,2013,Eylül,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi The Lego Movie,lego-minifigurler-serisi-the-lego-movie,lego-minifigures-series-the-lego-movie,71004,71004,Lisanslı Seriler,Film Uyarlaması / Aksiyon – Komedi / LEGO Sinema Evreni,2014-01-01,2014,Ocak,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi The Simpsons,lego-minifigurler-serisi-the-simpsons,lego-minifigures-series-the-simpsons,71005,71005,Lisanslı Seriler,Animasyon / TV Klasikleri / Komedi,2014-05-01,2014,Mayıs,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 12,lego-minifigurler-serisi-12,lego-minifigures-series-12,71007,71007,Koleksiyon Serileri,Klasik,2014-10-01,2014,Ekim,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 13,lego-minifigurler-serisi-13,lego-minifigures-series-13,71008,71008,Koleksiyon Serileri,Klasik,2015-01-01,2015,Ocak,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi The Simpsons 2,lego-minifigurler-serisi-the-simpsons-2,lego-minifigures-series-the-simpsons-2,71009,71009,Lisanslı Seriler,Animasyon / TV Klasikleri / Komedi,2015-05-01,2015,Mayıs,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 14,lego-minifigurler-serisi-14,lego-minifigures-series-14,71010,71010,Koleksiyon Serileri,Monsters (Korku Temalı),2015-09-01,2015,Eylül,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 15,lego-minifigurler-serisi-15,lego-minifigures-series-15,71011,71011,Koleksiyon Serileri,Klasik,2016-01-01,2016,Ocak,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi DFB,lego-minifigurler-serisi-dfb,lego-minifigures-series-dfb,71014,71014,Lisanslı Seriler,Spor / Futbol / Özel Koleksiyon,2016-05-01,2016,Mayıs,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi Disney,lego-minifigurler-serisi-disney,lego-minifigures-series-disney,71012,71012,Lisanslı Seriler,Animasyon / Disney Klasikleri / Fantastik,2016-05-01,2016,Mayıs,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 16,lego-minifigurler-serisi-16,lego-minifigures-series-16,71013,71013,Koleksiyon Serileri,Klasik,2016-09-01,2016,Eylül,16,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi Batman Movie,lego-minifigurler-serisi-batman-movie,lego-minifigures-series-batman-movie,71017,71017,Lisanslı Seriler,Süper Kahraman / DC Comics / Film Uyarlaması,2017-01-01,2017,Ocak,20,,,,,,,,,,,,TRUE,TRUE
LEGO® Minifigürler Serisi 17,lego-minifigurler-serisi-17,lego-minifigures-series-17,71018,71018,Koleksiyon Serileri,Klasik,2017-05-01,2017,Mayıs,16,,,,,,,,,,,,TRUE,TRUE
